address,sources,source_count,label
0x0177eb92b752fa0715ee0dce1d860eaf739b5cf4,etherscan_malicious_labels.csv;evm-labels-all.csv;master_blacklist_set.txt;phishing_scams.csv,4,1
0x0178499f84c76c9b863318703092080f31dfa1ae,etherscan_malicious_labels.csv;evm-labels-all.csv;master_blacklist_set.txt;phishing_scams.csv,4,1
0x017ddbfb1028abef07ad530b0af1be705dee43a6,phishing_address_groundtruth.txt,1,1
0x017f86b90a46d8fd999eaefda1339355b98da12f,cryptoscamdb_urls.yaml;etherscamdb.yaml;etherscan_malicious_labels.csv;evm-labels-all.csv;fakeAddresses_unique.txt;master_blacklist_set.txt;phishing_scams.csv,7,1
0x018d4f9fd62de53b0dbaa730c5ea0a08bd2bd6e1,phishing_address_groundtruth.txt,1,1
0x018f2f4b3c9e38607aa7ab4dea23e9d663e3e050,cryptoscamdb_urls.yaml;etherscamdb.yaml;etherscan_malicious_labels.csv;evm-labels-all.csv;fakeAddresses_unique.txt;master_blacklist_set.txt;phishing_scams.csv,7,1
0x0190a8cb67d7f3adea06c7dd68f7062936b0ddf4,phishing_address_groundtruth.txt,1,1
0x019555f710db68c0f49b0fa88a0f114d87bb7069,phishing_address_groundtruth.txt,1,1
0x01a5bd4d6ce6b158af2368ada25fb7dd358b92ac,scamsniffer-phishing-address.json,1,1
0x01aa3dddcd9eac55b6698a487261c0a402ecdcdb,etherscan_malicious_labels.csv;master_blacklist_set.txt;phishing_scams.csv,3,1
0x01b09c9a2a67a829b5d54affd0233821b43632a5,master_blacklist_set.txt,1,1
0x01b4eedf45749b38cb9ad2bae1e98e9fe2ef1d32,etherscan_malicious_labels.csv;evm-labels-all.csv;master_blacklist_set.txt;phishing_scams.csv,4,1
0x01b5e1e3156f2a1221a16583fae561cb10eb88d4,scamsniffer-phishing-address.json,1,1
0x01b719635b489315b22bc91d4b028dfbcd025a74,phishing_address_groundtruth.txt,1,1
0x01b79e94ec66a303d507bfa4ad82ab5766b37078,scamsniffer-phishing-address.json,1,1
0x01e2c61dac53fb0088e29705edf4fce303de5413,etherscan_malicious_labels.csv;master_blacklist_set.txt;phishing_scams.csv,3,1
0x01e307a5dab85ef52d6ac9b7ebe5d5f4c3664209,phishing_address_groundtruth.txt,1,1
0x01f3269bc24f190bd4cb40150740b685f0bfaf63,scamsniffer-phishing-address.json,1,1
0x01f42cabd10c17baee94b36964510e2d784fa786,master_blacklist_set.txt,1,1
0x01f9ec89417814d6a7b0961edc24fe1cde61f208,etherscan_malicious_labels.csv;evm-labels-all.csv;master_blacklist_set.txt;phishing_address_bonus.txt;phishing_scams.csv;trans2vec-phishing-address.txt,6,1
0x01fdf2a630acca36494215bc07b706901ede063f,scamsniffer-phishing-address.json,1,1
0x01fe51d87a55a043a86c6ce1fe79dfd8da844301,phishing_address_groundtruth.txt,1,1
0x01fe6f7f910300c31273a75e9492937984b73f5d,phishing_addresses.csv,1,1
0x020342284f9f8e43c9f95c359ce428dfbfbf8e49,phishing_address_groundtruth.txt,1,1
0x02058ffc151cfb538df97c9ffbbfd0319570f091,etherscan_malicious_labels.csv;evm-labels-all.csv;master_blacklist_set.txt;phishing_scams.csv,4,1
0x02079885dede256a209c4c056e2b6d5cce64a488,phishing_addresses.csv;scamsniffer-phishing-address.json,2,1
0x02095d057ff161e53ec689ab17c34e6d65899b1d,etherscan_malicious_labels.csv;master_blacklist_set.txt;phishing_scams.csv,3,1
0x020b1573f2ca670190d33ca2f0a57b0c0399ad37,etherscan_malicious_labels.csv;evm-labels-all.csv;master_blacklist_set.txt;phishing_address_bonus.txt;phishing_scams.csv;trans2vec-phishing-address.txt,6,1
0x021bcdee4d5a997ae0a594e8362fe103f14aff79,etherscan_malicious_labels.csv;evm-labels-all.csv;master_blacklist_set.txt;phishing_scams.csv,4,1
0x021ecc158abac5f6028815fbda9a6f00992e1bb4,phishing_address_groundtruth.txt,1,1
0x021ef692f39a75cee36cb3cf821d83216c638fa3,phishing_addresses.csv;scamsniffer-phishing-address.json,2,1
0x022154d3816a1252ed0e68c98838694bfcd98be8,etherscan_malicious_labels.csv;evm-labels-all.csv;master_blacklist_set.txt;phishing_scams.csv,4,1
